Organisation Code,Legal Name,Business name(s),training_code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Scope Extent,Scope Start Date,Scope End Date,Scope,NSW delivery approved,VIC delivery approved,QLD delivery approved,SA delivery approved,WA delivery approved,TAS delivery approved,NT delivery approved,ACT delivery approved,International delivery approved,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC317,Construct landscape features using concrete,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC302,TRUE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40301,Building Science And Technology,,,,,,,TRUE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC318,Erect timber structures and features,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC304,TRUE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40311,Carpentry And Joinery,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC319,Implement a retaining wall project,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC307,TRUE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40105,Landscape Architecture,,,,,,,TRUE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC320,Install water features,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC309,TRUE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40105,Landscape Architecture,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCLSC321,Install metal structures and features,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCLSC308,TRUE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40301,Building Science And Technology,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCMOM201,Operate two wheel motorbikes,N,Unit of competency,Current,27/06/2016,Current,27/06/2016,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Explicit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,AHCMOM201A,TRUE,2,19/12/2018,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,30515,Automotive Vehicle Operations,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCMOM213,Operate and maintain chainsaws,N,Unit of competency,Current,27/06/2016,Current,27/06/2016,,"Deliver and assess , Granted",19/04/2024,06/10/2029,Explicit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,AHCARB205A,TRUE,2,19/12/2018,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,30717,Plant And Machine Operations,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCMOM216,Operate side by side utility vehicles,N,Unit of competency,Current,19/12/2018,Current,19/12/2018,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Explicit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,AHCMOM211,FALSE,1,19/12/2018,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,30515,Automotive Vehicle Operations,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCMOM217,Operate quad bikes,N,Unit of competency,Current,19/12/2018,Current,19/12/2018,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Explicit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,AHCMOM212,FALSE,1,19/12/2018,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,30515,Automotive Vehicle Operations,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCMOM304,Operate machinery and equipment,N,Unit of competency,Current,27/06/2016,Current,27/06/2016,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCMOM304A,TRUE,2,19/12/2018,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,30717,Plant And Machine Operations,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCNAR201,Carry out natural area restoration works,N,Unit of competency,Superseded,23/12/2020,Superseded,27/06/2016,22/12/2020,"Deliver and assess , Granted",13/10/2023,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,AHCECR203,FALSE,AHCNAR201A,TRUE,1,27/06/2016,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,50999,"Environmental Studies, N.e.c.",,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCNAR303,Implement revegetation works,N,Unit of competency,Superseded,23/12/2020,Superseded,27/06/2016,22/12/2020,"Deliver and assess , Granted",13/10/2023,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,AHCECR303,FALSE,AHCNAR303A,TRUE,1,27/06/2016,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,50301,Horticulture,,,,,,,FALSE,FALSE,,FALSE
